Chinese	Pinyin	English	TimesUsed
失损	shī sǔn	loss	1
疵谬	cī miù	faults	1
礼节	lǐ jié	ritual	1
坑口	kēng kǒu	pit entrance	1
玺	xǐ	seal	1
废寝	fèi qǐn	abandon sleep	1
坑边	kēng biān	edge of the pit	1
坑底	kēng dǐ	bottom of the den	1
咬碎	yǎo suì	crushed	1
长生	cháng shēng	eternal life	1
无极	wú jí	without end	1
各不	gè bù	each not	1
衔着	xián zhe	holding in mouth	1
迥不	jiǒng bù	utterly not	1
三角	sān jiǎo	three horns	1
亘古常在者	gèn gǔ cháng zài zhě	Ancient of Days	1
案卷	àn juàn	scrolls	1
天云	tiān yún	clouds of heaven	1
真义	zhēn yì	true meaning	1
享国	xiǎng guó	enjoy the kingdom	1
迥异	jiǒng yì	vastly different	1
铜爪	tóng zhǎo	bronze claws	1
角落	jiǎo luò	corners	1
常在者	cháng zài zhě	the Everlasting One	1
吞并	tūn bìng	devour	1
审判者	shěn pàn zhě	judge	1
大尊荣	dà zūn róng	great honor	1
以拦省	yǐ lán shěng	province of Elam	1
一大角	yī dà jiǎo	a large horn	1
两角	liǎng jiǎo	two horns	1
触倒	chù dǎo	knocked down	1
一小角	yī xiǎo jiǎo	a small horn	1
大逞强暴	dà chěng qiáng bào	greatly exerted violence	1
抛落	pāo luò	cast down	1
二千三百日	èr qiān sān bǎi rì	two thousand three hundred days	1
灾末	zāi mò	end of disasters	1
诡谋	guǐ móu	schemes	1
狂大	kuáng dà	arrogant	1
玛代族	mǎ dài zú	Medes	1
开眼	kāi yǎn	open eyes	1
俯顾	fǔ gù	look down	1
七十个七	qī shí gè qī	seventy weeks	1
去尽	qù jìn	put away	1
永远的	yǒng yuǎn de	everlasting	1
至圣的	zhì shèng de	most holy	1
出令	chū lìng	decree issued	1
七个七	qī gè qī	seven sevens	1
六十二个七	liù shí èr gè qī	sixty-two sevens	1
复有	fù yǒu	again there will be	1
城濠	chéng háo	moat	1
之半	zhī bàn	half	1
酒肉	jiǔ ròu	wine and meat	1
美玉	měi yù	beautiful jade	1
却都	què dōu	but all	1
大惊惧	dà jīng jù	greatly frightened	1
失色	shī sè	pale	1
微	wēi	slightly	1
支持	zhī chí	support	1
蒙眷爱	méng juàn ài	graced with love	1
巴西国	bā xī guó	Persia	1
神魂	shén hún	spirit	1
护巴西	hù bā xī	Hobas (proper noun)	1
护雅完	hù yǎ wán	Huyawan (proper noun)	1
真确	zhēn què	true and accurate	1
富强	fù qiáng	prosperous and strong	1
大勇	dà yǒng	greatly courageous	1
天的	tiān de	of heaven	1
国基	guó jī	foundation of the kingdom	1
见拔	jiàn bá	uprooted	1
过些年后	guò xiē nián hòu	after some years	1
意图	yì tú	intention	1
相帮	xiāng bāng	help each other	1
全胜	quán shèng	complete victory	1
无奈何	wú nài hé	have no choice	1
不加增	bù jiā zēng	not increase	1
筹备	chóu bèi	prepare	1
年后	nián hòu	years later	1
奸恶人	jiān è rén	wicked people	1
诸洲岛	zhū zhōu dǎo	many islands	1
一大帅	yī dà shuài	a great leader	1
横征暴敛	héng zhēng bào liǎn	levy exorbitant taxes	1
不多日	bù duō rì	not many days	1
卑鄙	bēi bǐ	despicable	1
不防备	bù fáng bèi	unprepared	1
所未曾	suǒ wèi céng	never before	1
极强	jí qiáng	extremely strong	1
假说	jiǎ shuō	pretend to say	1
了结	liǎo jié	conclude	1
献谀	xiàn yú	flatter	1
怀诈	huái zhà	harbor deceit	1
自高自大	zì gāo zì dà	arrogant	1
反常	fǎn cháng	abnormal	1
从东方	cóng dōng fāng	from the east	1
从北方	cóng běi fāng	from the north	1
他心	tā xīn	his heart	1
帐殿	zhàng diàn	tabernacle	1
圣美山	shèng měi shān	holy beautiful mountain	1
见耶30:7	jiàn yē 3 0 : 7	See Jeremiah 30:7	1
大艰难	dà jiān nán	great tribulation	1
从有	cóng yǒu	from	1
国以来	guó yǐ lái	since [the existence of] nation	1
必兴起	bì xīng qǐ	will arise	1
佑护	yòu hù	to defend	1
凡名	fán míng	every named	1
永受	yǒng shòu	eternally suffer	1
归义	guī yì	turn to righteousness	1
明星	míng xīng	bright star	1
谨秘	jǐn mì	secretly	1
异常	yì cháng	unusual	1
一千二百九十	yī qiān èr bǎi jiǔ shí	one thousand two hundred ninety	1
盼到	pàn dào	look forward to	1
一千二百三十五	yī qiān èr bǎi sān shí wǔ	one thousand two hundred thirty-five	1
何西阿书	Hé xī ā shū	Book of Hosea	1
备利	bèi lì	Beeri	1
滴拉音	dī lā yīn	Diblaim	1
些时	xiē shí	some time	1
与她	yǔ tā	with her	1
罗阿米	luó ā mǐ	Lo-ammi	1
阿米	ā mǐ	Ami (name)	1
路哈玛	lù hā mǎ	Ruhama (name)	1
态	tài	behavior	1
赶上	gǎn shàng	catch up	1
遮露体	zhē lù tǐ	cover nakedness	1
取回来	qǔ huí lái	take back	1
荒林	huāng lín	wilderness	1
她素日	tā sù rì	her usual days	1
诸巴力	zhū bā lì	all Baal	1
她的人	tā de rén	her people	1
劝诱	quàn yòu	persuade	1
门路	mén lù	way	1
耶斯列民	yē sī liè mín	people of Jezreel	1
我必使他们住在这地	wǒ bì shǐ tā men zhù zài zhè dì	I will make them dwell in this land	1
素不蒙怜悯的	sù bù méng lián mǐn de	those who have not received mercy	1
必称	bì chēng	will surely call	1
非我民的为我民	fēi wǒ mín de wéi wǒ mín	those who are not my people as my people	1
她必说	tā bì shuō	she will say	1
你是我的天主	nǐ shì wǒ de tiān zhǔ	you are my Lord	1
葡萄饼	pú táo bǐng	raisin cakes	1
提拉平	tí lā píng	teraphim	1
行杀害	xíng shā hài	commit murder	1
行强暴	xíng qiáng bào	act violently	1
摇夺	yáo duó	shake and seize	1
问事	wèn shì	inquire about matters	1
未来事	wèi lái shì	future matters	1
淫心	yín xīn	lustful heart	1
杨柳树	yáng liǔ shù	willow tree	1
不贞洁	bù zhēn jié	unchaste	1
亲附	qīn fù	cling to	1
纵饮	zòng yǐn	indulge in drinking	1
裹去	guǒ qù	carried away	1
更深	gèng shēn	even deeper	1
显佑	xiǎn yòu	manifest blessing	1
晨露	chén lù	morning dew	1
诛责	zhū zé	rebuke	1
基列城	jī liè chéng	city of Gilead	1
满处	mǎn chù	everywhere	1
可惊的	kě jīng de	appalling	1
被污秽	bèi wū huì	defiled	1
怎奈	zěn nài	however	1
贼人	zéi rén	thief	1
饼炉	bǐng lú	bread oven	1
含蓄	hán xù	contain	1
不翻	bù fān	not turned	1
斑白	bān bái	gray	1
罗取	luó qǔ	catch	1
绝谷酒	jué gǔ jiǔ	grain and wine	1
翻了	fān le	overturned	1
朋党	péng dǎng	faction	1
紧要	jǐn yào	important	1
自食	zì shí	eat themselves	1
造他们的	zào tā men de	create their	1
筑坚固城	zhú jiān gù chéng	build strong cities	1
他城邑	tā chéng yì	their cities	1
他宫殿	tā gōng diàn	his palaces	1
希望	xī wàng	hope	1
虚望	xū wàng	vain hope	1
摩弗人	mó fú rén	Memphites	1
必知	bì zhī	will know	1
自说	zì shuō	claim	1
大怀	dà huái	greatly harbor	1
初熟的果	chū shú de guǒ	first ripe fruit	1
可羞耻的	kě xiū chǐ de	shameful	1
可憎恶的	kě zēng wù de	abominable	1
纵得	zòng dé	even if obtain	1
绝后	jué hòu	cut off descendants	1
携出	xié chū	bring out	1
越多	yuè duō	more	1
壮丽	zhuàng lì	magnificent	1
拆坏	chāi huài	destroy	1
己谋	jǐ móu	own schemes	1
沫子	mò zi	foam	1
覆压	fù yā	overwhelm	1
驯服	xùn fú	tamed	1
拉套	lā tào	pull the harness	1
恩雨	ēn yǔ	rain of grace	1
虚果	xū guǒ	false fruit	1
恃赖	shì lài	depend on	1
沙勒幔	shā lè màn	Shalman	1
伯亚比勒	bó yà bǐ lè	Beth-arbel	1
早时	zǎo shí	early time	1
召呼	zhào hū	call	1
系引	xì yǐn	lead	1
本宅	běn zhái	homeland	1
足跟	zú gēn	heel	1
基列民	jī liè mín	people of Gilead	1
固有	gù yǒu	originally have	1
固	gù	originally	1
吉甲人	jí jiǎ rén	people of Gilgal	1
牧守	mù shǒu	tend	1
居处	jū chǔ	dwell	1
心胸	xīn xiōng	heart	1
难产	nán chǎn	difficult labor	1
产时	chǎn shí	time of birth	1
子宫	zǐ gōng	womb	1
竭绝	jié jué	dry up	1
干涸	gān hé	dry up	1
垂布	chuí bù	hang down	1
种艺	zhòng yì	cultivate	1
约珥书	yuē ěr shū	Book of Joel	1
毗土珥	pí tǔ ěr	Pethuel	1
剥尽	bō jìn	strip off completely	1
露白	lù bái	expose the white	1
廪	lǐn	storehouse	1
虚	xū	void	1
散乱	sàn luàn	scattered	1
烧枯	shāo kū	burn and wither	1
洪大	hóng dà	loud	1
古以来	gǔ yǐ lái	since ancient times	1
所到之处	suǒ dào zhī chù	wherever it reaches	1
前如大火焚烧	qián rú dà huǒ fén shāo	before, like a great fire burns	1
后如烈焰焚毁	hòu rú liè yàn fén huǐ	after, like fierce flames destroy	1
未来之先	wèi lái zhī xiān	before the future	1
地如伊甸园	dì rú yī diàn yuán	the land like Eden	1
既去之后	jì qù zhī hòu	after it has gone	1
地成荒墟	dì chéng huāng xū	the land becomes a wasteland	1
能躲避他的	néng duǒ bì tā de	able to escape it	1
速跑	sù pǎo	running swiftly	1
成列	chéng liè	in formation	1
不乱	bù luàn	not disordered	1
攀援	pān yuán	climb	1
来时	lái shí	when coming	1
天动	tiān dòng	heaven shakes	1
余福	yú fú	remaining blessing	1
流散	liú sàn	spread	1
腥味	xīng wèi	fishy smell	1
大瓮	dà wèng	large jars	1
孰	shú	who	1
非利士四境的	Fēi lì shì sì jìng de	of the whole territory of Philistia	1
雅完族	yǎ wán zú	Javanites	1
我必将	wǒ bì jiāng	I will definitely	1
远方的	yuǎn fāng de	to distant	1
镰	lián	sickle	1
施用	shī yòng	apply	1
瓮	wèng	vat	1
示亭谷	shì tíng gǔ	Shittim valley	1
阿摩斯书	ā mó sī shū	Book of Amos	1
至三至四	zhì sān zhì sì	three or four times	1
我必攻折	wǒ bì gōng zhé	I must break through	1
大玛色的	dà mǎ sè de	Damascus's	1
亚文平原的	yà wén píng yuán de	the plains of Aven	1
伯伊甸灭绝	bó yī diàn miè jué	completely exterminate Beth Eden	1
亚兰人必被掳	yà lán rén bì bèi lǔ	the Arameans will be captured	1
友爱	yǒu ài	brotherly love	1
疆土	jiāng tǔ	territory	1
理直	lǐ zhí	upright	1
壮	zhuàng	strong	1
剥落	bō luò	strip off	1
那细珥	nà xì ěr	Nazarite	1
腿快	tuǐ kuài	fast legs	1
逃难	táo nàn	escape disaster	1
最有	zuì yǒu	most	1
穴中	xué zhōng	in the den	1
一无所行	yī wú suǒ xíng	do nothing	1
大乱事	dà luàn shì	great disturbances	1
拆倒	chāi dǎo	tear down	1
床隅	chuáng yú	corner of bed	1
花毯	huā tǎn	carpet	1
冬宅	dōng zhái	winter residence	1
夏宅	xià zhái	summer residence	1
鱼钩	yú gōu	fishhook	1
破坏处	pò huài chù	place of destruction	1
焚有酵饼	fén yǒu jiào bǐng	burn leavened bread	1
所乐献的	suǒ lè xiàn de	happily offered	1
齿间	chǐ jiàn	between the teeth	1
两三城	liǎng sān chéng	two or three cities	1
别城	bié chéng	another city	1
果园	guǒ yuán	orchard	1
所吃	suǒ chī	eaten by	1
杀戳	shā chuō	slaughter	1
扑鼻	pū bí	assail the nostrils	1
昂宿	áng xiù	Pleiades	1
参宿	shēn xiù	Orion	1
力强的	lì qiáng de	the strong	1
坚固的	jiān gù de	the fortified	1
横征	héng zhēng	levy harsh taxes	1
求恶	qiú è	seek evil	1
你们所言	nǐ men suǒ yán	as you say	1
好善	hào shàn	love good	1
唤	huàn	summon	1
基芸	jī yún	Chiun	1
星像	xīng xiàng	star image	1
恃仗	shì zhàng	reliance	1
两国	liǎng guó	two nations	1
近时	jìn shí	recent time	1
象牙床	xiàng yá chuáng	ivory bed	1
偃息	yǎn xī	rest	1
一房内	yī fáng nèi	inside one room	1
大房	dà fáng	great house	1
小屋	xiǎo wū	small house	1
悬崖	xuán yá	cliff	1
荼草	tú cǎo	bitter herbs	1
割草	gē cǎo	cut grass	1
青物	qīng wù	green plants	1
息免	xī miǎn	forgive	1
一堵	yī dǔ	a	1
野无花果	yě wú huā guǒ	wild figs	1
以撒家	yǐ sā jiā	house of Isaac	1
震摇	zhèn yáo	shake	1
压在	yā zài	press upon	1
迦斐托	jiā fěi tuō	Caphtor	1
筛子	shāi zi	sieve	1
筛	shāi	sift	1
耕种的	gēng zhòng de	those who plow	1
收割的	shōu gē de	those who reap	1
压葡萄的	yā pú táo de	those who tread grapes	1
播种的	bō zhòng de	those who sow	1
酒多	jiǔ duō	abundance of wine	1
阿巴底亚书	ā bā dǐ yà shū	Book of Obadiah	1
阿巴底亚	ā bā dǐ yà	Obadiah	1
星间	xīng jiān	among the stars	1
盗	dào	robbers	1
尽察	jìn chá	thoroughly examined	1
觉察	jué chá	awareness	1
在旁	zài páng	on the side	1
岔道	chà dào	crossroads	1
常饮	cháng yǐn	often drink	1
约瑟家	yuē sè jiā	house of Joseph	1
以法莲地	yǐ fǎ lián dì	land of Ephraim	1
撒玛利亚地	sǎ mǎ lì yà dì	land of Samaria	1
西法拉	xī fǎ lā	Sepharad	1
约拿书	yuē ná shū	Book of Jonah	1
宣教	xuān jiào	preach	1
恰遇	qià yù	happened to meet	1
船价	chuán jià	the fare	1
舱内	cāng nèi	inside the cabin	1
拢岸	lǒng àn	approach shore	1
平息	píng xī	calm down	1
围抱	wéi bào	embrace	1
海草	hǎi cǎo	seaweed	1
我头	wǒ tóu	my head	1
地门	dì mén	gate of the ground	1
永闭	yǒng bì	forever closed	1
颓败	tuí bài	despondent	1
再等	zài děng	wait again	1
老老	lǎo lǎo	old	1
少少	shào shào	young	1
有命	yǒu mìng	have ordered	1
回心	huí xīn	change heart	1
转意	zhuǎn yì	change mind	1
搭了	dā le	built	1
干热	gān rè	dry and hot	1
暴晒	bào shài	scorch	1
弥迦书	mí jiā shū	Book of Micah	1
登临	dēng lín	ascend to	1
悲鸣	bēi míng	lament	1
伯亚弗拉	bó yà fú lā	Beth Aphrah	1
沙斐	shā fěi	Shapher (place name)	1
蒙辱	méng rǔ	humiliated	1
撒南	sā nán	Saanan (place name)	1
伯以薛	bó yǐ xuē	Beth-ezel (place name)	1
玛律	mǎ lǜ	Maroth	1
前跑	qián pǎo	run ahead	1
而起	ér qǐ	arise	1
摩利设迦特	mó lì shè jiā tè	Moresheth-gath	1
秃鹰	tū yīng	bald eagle	1
行出来	xíng chū lái	carry out	1
抢据	qiǎng jù	snatch and occupy	1
乐居	lè jū	happy dwelling	1
栏中	lán zhōng	in the pen	1
圈内	quān nèi	in the fold	1
众声	zhòng shēng	many voices	1
胜敌	shèng dí	defeat the enemy	1
直入	zhí rù	straight into	1
剔	tī	pick	1
沉落	chén luò	sink	1
见异象	jiàn yì xiàng	see visions	1
秉权的	bǐng quán de	those in authority	1
求利	qiú lì	seek profit	1
谋财	móu cái	seek wealth	1
耕种的田	gēng zhòng de tián	plowed field	1
馀民	yú mín	remnant	1
谋议	móu yì	counsel	1
作队	zuò duì	form teams	1
郡邑	jùn yì	towns	1
国门	guó mén	city gates	1
撕碎	sī suì	tear apart	1
冈岭	gāng lǐng	hills	1
永固	yǒng gù	everlasting	1
一岁的	yī suì de	one-year-old	1
数千	shù qiān	thousands	1
万河	wàn hé	ten thousand rivers	1
暗利王	Àn lì wáng	King Omri	1
虔敬人	qián jìng rén	devout people	1
以非为是	yǐ fēi wéi shì	take wrong as right	1
编成	biān chéng	weave into	1
最好的	zuì hǎo de	the best	1
最正直的	zuì zhèng zhí de	the most upright	1
复起	fù qǐ	rise again	1
辩屈	biàn qū	defend	1
逞仗	chěng zhàng	rely on	1
出降	chū jiàng	surrender	1
那鸿书	nà hóng shū	Book of Nahum	1
伊勒歌斯	yī lè gē sī	Elkoshite	1
那鸿	nà hóng	Nahum	1
怒心	nù xīn	anger	1
荣花	róng huā	glorious flowers	1
殒灭	yǔn miè	perish	1
传名	chuán míng	pass on name	1
陋劣	lòu liè	despicable	1
报好消息	bào hǎo xiāo xi	bring good news	1
防护	fáng hù	protect	1
红盾牌	hóng dùn pái	red shields	1
绛衣	jiàng yī	crimson garments	1
挥动	huī dòng	brandish	1
急如	jí rú	as swift as	1
河闸	hé zhá	river gates	1
捶胸	chuí xiōng	beat their breasts	1
自来	zì lái	since ancient times	1
藏蓄	cáng xù	treasures	1
相击	xiāng jī	strike	1
公狮子	gōng shī zi	male lion	1
抓	zhuā	seize	1
你那	nǐ nà	your	1
远听	yuǎn tīng	hear from afar	1
鞭声	biān shēng	sound of whips	1
被杀的	bèi shā de	those who were killed	1
下服	xià fú	lower garment	1
路口	lù kǒu	street corners	1
怯弱	qiè ruò	timid and weak	1
蚱蜢	zhà měng	grasshopper	1
天凉	tiān liáng	weather is cool	1
齐落	qí luò	settle together	1
昏睡	hūn shuì	slumber	1
无药可治	wú yào kě zhì	incurable	1
终必致死	zhōng bì zhì sǐ	will surely lead to death	1
哈巴谷书	hā bā gǔ shū	Book of Habakkuk	1
怨隙	yuàn xì	resentment	1
纷起	fēn qǐ	arise frequently	1
夜出	yè chū	night-prowling	1
快飞	kuài fēi	fast-flying	1
长驱	cháng qū	advance rapidly	1
大进	dà jìn	great advance	1
虫类	chóng lèi	insects	1
捕获	bǔ huò	capture	1
拖拉	tuō lā	drag	1
富裕	fù yù	abundant	1
守望所	shǒu wàng suǒ	watchtower	1
疑问	yí wèn	doubt	1
明记	míng jì	record clearly	1
贪酒	tān jiǔ	greedy for wine	1
讥讽	jī fěng	satirize	1
孽债	niè zhài	sin debt	1
墙里	qiáng lǐ	inside the wall	1
筑邑	zhù yì	construct a town	1
斟出	zhēn chū	pour out	1
生灵	shēng líng	living beings	1
伪师	wěi shī	false teacher	1
体式	tǐ shì	style	1
朗耀	lǎng yào	bright shining	1
日华	rì huá	sun's glory	1
热疫	rè yì	burning plague	1
恒久的	héng jiǔ de	eternal	1
永长的	yǒng cháng de	everlasting	1
颓陷	tuí xiàn	collapse	1
古珊	gǔ shān	Cushan	1
乘马	chéng mǎ	ride horses	1
驾车	jià chē	drive chariots	1
辟开	pì kāi	split open	1
宫宿	gōng xiù	palace and lodgings	1
挥戈	huī gē	brandish spears	1
下土	xià tǔ	the earth	1
敌民	dí mín	enemy people	1
刨露	páo lù	dig up and expose	1
唇齿	chún chǐ	lips and teeth	1
牢内	láo nèi	inside the pen	1
伶长	líng zhǎng	choir director	1
西番雅书	xī fān yǎ shū	Book of Zephaniah	1
悖弃	bèi qì	forsake	1
大悲恸	dà bēi tòng	great grief	1
玛革提施	mǎ gé tí shī	Maktesh	1
甚快	shén kuài	very quickly	1
不知羞耻	bù zhī xiū chǐ	shameless	1
速过	sù guò	pass quickly	1
未临	wèi lín	has not come upon	1
基利提族	jī lì tí zú	Cherethites	1
这一带地	zhè yī dài dì	this stretch of land	1
盐坑	yán kēng	salt pit	1
鹈鸪	tí gū	pelican	1
野鸟	yě niǎo	wild birds	1
鸟声	niǎo shēng	sound of birds	1
柏香	bǎi xiāng	cypress fragrance	1
拆落	chāi luò	torn down	1
不倚靠	bù yǐ kào	not rely on	1
不亲近	bù qīn jìn	not draw near	1
尽吃	jìn chī	devour completely	1
无日	wú rì	no day	1
清洁的	qīng jié de	pure	1
耶和华的	yē hé huá de	Jehovah's	1
合意地	hé yì de	unitedly	1
欢呼踊跃	huān hū yǒng yuè	shout for joy	1
哈该书	hā gāi shū	Book of Haggai	1
漏破	lòu pò	leaking and broken	1
不得力	bù dé lì	without strength	1
无足称道	wú zú chēng dào	not worth mentioning	1
后时的殿	hòu shí de diàn	latter temple	1
先时的殿	xiān shí de diàn	former temple	1
兜	dōu	carry in a fold	1
风吹干	fēng chuī gān	withered by wind	1
薄弱	bó ruò	weak	1
雹打伤	báo dǎ shāng	injured by hail	1
此日	cǐ rì	this day	1
撒迦利亚书	sā jiā lì yà shū	Book of Zechariah	1
劝告	quàn gào	admonish	1
细罢特月	xì bà tè yuè	month of Shebat	1
紫马	zǐ mǎ	dappled horses	1
火城	huǒ chéng	fire city	1
圣居所	shèng jū suǒ	holy sanctuary	1
肃然	sù rán	solemnly	1
抵御	dǐ yù	resist	1
一石	yī shí	one stone	1
七眼	qī yǎn	seven eyes	1
纯	chún	pure	1
灌油	guàn yóu	supply oil	1
两棵	liǎng kē	two (trees)	1
其意	qí yì	its meaning	1
头一块石	tóu yī kuài shí	first stone	1
细事	xì shì	trivial matter	1
吊锤	diào chuí	plumb line	1
遍察	biàn chá	observe everywhere	1
二枝	èr zhī	two branches	1
有何意	yǒu hé yì	what is the meaning	1
降灾罚	jiàng zāi fá	bring disaster and punishment	1
伊法中	yī fǎ zhōng	in the ephah	1
搭起来	dā qǐ lái	lift up	1
铜山	tóng shān	bronze mountains	1
斑点的	bān diǎn de	spotted	1
黑玳	hēi dài	Heidai (name)	1
两间	liǎng jiān	between two	1
贤	xián	Xian	1
基斯娄月	jī sī lóu yuè	month of Chislev	1
初四日	chū sì rì	fourth day	1
沙列塞	shā liè sāi	Saliser	1
利坚米勒	lì jiān mǐ lè	Likemiller	1
相待	xiāng dài	treat	1
老夫	lǎo fū	old man	1
手持	shǒu chí	holding in hand	1
童男	tóng nán	young boys	1
室	shì	house	1
悔	huǐ	repent	1
人与人	rén yǔ rén	between people	1
人和睦	rén hé mù	people live in peace	1
佳节	jiā jié	festival	1
哈得拉地	hā dé lā dì	Hadrach land	1
邻邑	lín yì	neighboring town	1
至公义的	zhì gōng yì de	most righteous	1
施救的	shī jiù de	savior	1
水坑	shuǐ kēng	water pit	1
都可	dōu kě	all can	1
偿报	cháng bào	repay	1
被掷	bèi zhì	thrown	1
畅饮	chàng yǐn	drink freely	1
升腾	shēng téng	rise	1
蔬	shū	vegetables	1
苦海	kǔ hǎi	sea of bitterness	1
开开	kāi kāi	open	1
巴珊橡树	bā shān xiàng shù	Bashan oak tree	1
峻山	jùn shān	lofty mountain	1
买它们	mǎi tā men	buy them	1
卖它们	mài tā men	sell them	1
残食	cán shí	devour	1
弃置	qì zhì	abandon	1
右目	yòu mù	right eye	1
重石	zhòng shí	heavy stone	1
盲瞎	máng xiā	blind	1
渥霈	wò pèi	abundant	1
哈达临门	hā dá lín mén	Hadadrimmon	1
一家一家	yī jiā yī jiā	house by house	1
拿单家	ná dān jiā	house of Nathan	1
利未家	lì wèi jiā	house of Levi	1
示每家	shì měi jiā	house of Shimei	1
一泉	yī quán	a spring	1
假奉	jiǎ fèng	falsely invoke	1
从何	cóng hé	from where	1
冻冰	dòng bīng	freeze ice	1
也不为	yě bù wéi	nor be	1
到下晚	dào xià wǎn	until evening	1
冬日	dōng rì	winter	1
哈楠业	hā nán yè	Hananel	1
睚	yá	eye socket	1
伊及族	yī jí zú	Egyptian people	1
马铃	mǎ líng	horse bells	1
镌刻	juān kè	engraved	1
宰牲	zǎi shēng	slaughter animals	1
玛拉基书	mǎ lā jī shū	Book of Malachi	1
玛拉基	mǎ lā jī	Malachi	1
恶境	è jìng	wicked territory	1
残疾的	cán jí de	disabled	1
日出的地方	rì chū de dì fāng	place of sunrise	1
日入的地方	rì rù de dì fāng	place of sunset	1
万民中	wàn mín zhōng	among all peoples	1
各处人	gè chù rén	people everywhere	1
万国中	wàn guó zhōng	among all nations	1
抢夺的	qiǎng duó de	robbed	1
为祭	wéi jì	as sacrifice	1
母畜	mǔ chù	female animal	1
相欺	xiāng qī	deceive	1
加强暴	jiā qiáng bào	increase violence	1
先年	xiān nián	former years	1
犯奸淫的	fàn jiān yín de	adulterers	1
起假誓的	qǐ jiǎ shì de	perjurers	1
负人工价的	fù rén gōng jià de	those who defraud laborers of wages	1
虐待孤寡的	nüè dài gū guǎ de	oppressors of widows and orphans	1
屈枉外人的	qū wǎng wài rén de	those who deprive foreigners of justice	1
不敬畏我的	bù jìng wèi wǒ de	those who do not fear me	1
果否	guǒ fǒu	whether or not	1
倾注	qīng zhù	pour out	1
富余	fù yú	overflowing	1
落果	luò guǒ	drop fruit	1
乐国	lè guó	happy nation	1
尝说	cháng shuō	have said	1
愁闷	chóu mèn	sorrowful	1
复见	fù jiàn	see again	1
名的	míng de	name (possessive)	1
义日	yì rì	righteous sun	1
煦育	xù yù	nurture	1
逍遥	xiāo yáo	carefree	1
为子	wéi zǐ	son	1
孝顺	xiào shùn	filial piety	1
玛太福音	mǎ tài fú yīn	Gospel of Matthew	1
他玛氏	tā mǎ shì	Tamar	1
匝拉	zā lā	Zerah	1
拉哈氏	lā hā shì	Rahab	1
路得氏	lù dé shì	Ruth	1
亚所	yà suǒ	Azor	1
以律	yǐ lǜ	Elijah (name)	1
以律生	yǐ lǜ shēng	begot by law	1
迁至	qiān zhì	migrate to	1
休了	xiū le	divorce	1
疑惧	yí jù	fear	1
救出来	jiù chū lái	save	1
同房	tóng fáng	consummate marriage	1
府县	fǔ xiàn	districts	1
细问	xì wèn	inquire carefully	1
两岁	liǎng suì	two years old	1
以里	yǐ lǐ	within	1
拉结氏	lā jié shì	Rachel	1
亚基老	yà jī lǎo	Archelaus	1
提鞋	tí xié	carry shoes	1
暗黑	àn hēi	darkness	1
往前走	wǎng qián zǒu	walked forward	1
补网	bǔ wǎng	mending nets	1
病痛	bìng tòng	illnesses	1
外来	wài lái	from outside	1
虚心	xū xīn	humble	1
一点一画	yī diǎn yī huà	smallest stroke or dot	1
你们的义	nǐ men de yì	your righteousness	1
的义	de yì	righteousness	1
拉加	lā jiā	Raca (term of contempt)	1
魔利	mó lì	fool (term of contempt)	1
和息	hé xī	reconcile	1
衙役	yá yì	bailiff	1
一分一毫	yī fēn yī háo	the slightest bit	1
万不能	wàn bù néng	absolutely cannot	1
使她	shǐ tā	cause her	1
变黑	biàn hēi	turn black	1
多说	duō shuō	say more	1
作对头	zuò duì tou	resist	1
右脸	yòu liǎn	right cheek	1
左脸	zuǒ liǎn	left cheek	1
一里	yī lǐ	one mile	1
二里	èr lǐ	two miles	1
歹人	dǎi rén	evil people	1
重复	chóng fù	repetitious	1
野地里	yě dì li	in the wild	1
就给他开门	jiù gěi tā kāi mén	will open the door for him	1
求鱼	qiú yú	ask for fish	1
宽的	kuān de	wide	1
找着	zhǎo zhe	find	1
好果子	hǎo guǒ zi	good fruit	1
被鬼附的	bèi guǐ fù de	demon-possessed	1
赶出去了	gǎn chū qù le	drove out	1
的病患	de bìng huàn	sickness	1
的疾痛	de jí tòng	pains	1
革革沙	gé gé shā	Gergesa	1
被鬼附	bèi guǐ fù	possessed by demons	1
就对	jiù duì	then to	1
这句	zhè jù	this verse	1
破绽	pò zhàn	tear	1
吹手	chuī shǒu	flute players	1
勒拜	lè bài	Lebbaeus	1
治干净	zhì gān jìng	cleanse	1
腰袋	yāo dài	money belt	1
铜钱	tóng qián	copper coins	1
哪城	nǎ chéng	which city	1
哪乡	nǎ xiāng	which village	1
这一家	zhè yī jiā	this household	1
这家	zhè jiā	this household	1
拂	fú	shake off	1
驯良	xùn liáng	innocent	1
动刀兵	dòng dāo bīng	bring a sword	1
轻省	qīng shěng	light	1
14节	shí sì jié	verse 14	1
拉上	lā shàng	pull up	1
不比	bù bǐ	not compared to	1
灯火	dēng huǒ	lamp	1
站不住	zhàn bù zhù	cannot stand	1
句句	jù jù	every word	1
究问	jiū wèn	question	1
地边	dì biān	ends of the earth	1
好地	hǎo dì	good ground	1
明白了	míng bái le	understand	1
六十倍	liù shí bèi	sixtyfold	1
三十倍	sān shí bèi	thirtyfold	1
长苗	zhǎng miáo	sprout	1
地主	dì zhǔ	landowner	1
割麦子	gē mài zi	reapers	1
捆成捆	kǔn chéng kǔn	bundle into bundles	1
百种	bǎi zhǒng	hundred kinds	1
长成了	zhǎng chéng le	grew up	1
